alpha,metric,direction,wins,ties,total_pairs,win_probability
0.0,eval/revenue_mean,higher,0,0,16,0.0
0.0,eval/reward_mean,higher,0,0,16,0.0
0.0,eval/coi_leakage_mean,lower,14,0,16,0.875
0.0,eval/volatility_mean,lower,8,0,16,0.5
0.1,eval/revenue_mean,higher,0,0,16,0.0
0.1,eval/reward_mean,higher,0,0,16,0.0
0.1,eval/coi_leakage_mean,lower,16,0,16,1.0
0.1,eval/volatility_mean,lower,8,0,16,0.5
0.25,eval/revenue_mean,higher,0,0,16,0.0
0.25,eval/reward_mean,higher,0,0,16,0.0
0.25,eval/coi_leakage_mean,lower,12,0,16,0.75
0.25,eval/volatility_mean,lower,11,0,16,0.6875
0.4,eval/revenue_mean,higher,0,0,16,0.0
0.4,eval/reward_mean,higher,0,0,16,0.0
0.4,eval/coi_leakage_mean,lower,16,0,16,1.0
0.4,eval/volatility_mean,lower,6,0,16,0.375
0.6,eval/revenue_mean,higher,0,0,16,0.0
0.6,eval/reward_mean,higher,0,0,16,0.0
0.6,eval/coi_leakage_mean,lower,16,0,16,1.0
0.6,eval/volatility_mean,lower,7,0,16,0.4375
0.8,eval/revenue_mean,higher,0,0,16,0.0
0.8,eval/reward_mean,higher,0,0,16,0.0
0.8,eval/coi_leakage_mean,lower,11,0,16,0.6875
0.8,eval/volatility_mean,lower,0,0,16,0.0
